question_number,year,exam,subject,topic,subtopic,question_text,option_1,option_2,option_3,option_4,answer,subject_clean,topic_clean,topics,label_source,concept,ask_type,secondary_subjects,source,answer_note,ocr_page,option_5,option_6,option_7,option_8,shift,year_hint
3,2014,AIPGMEE,Anatomy,Thorax,gastrophrenic ligament,Gastrophrenic ligament :- It connects the greater curvature of stomach to diaphragm. It develops from dorsal mesogastrium.,,,,,,Anatomy,Thorax,"['Thorax', 'Abdomen']",llm,Gastrophrenic ligament dorsal mesogastrium,anatomy_structure,[],nishant-aipgmee,,,,,,,,
4,2014,AIPGMEE,Anatomy,Abdomen,phrenicocolic ligament,Phrenicocolic ligament :- It connects left colic (splenic) flexure to diaphragm. It supports the anterior border of spleen.,,,,,,Anatomy,Abdomen,"['Abdomen', 'Thorax']",llm,Phrenicocolic ligament colon diaphragm support,anatomy_structure,[],nishant-aipgmee,,,,,,,,
5,2014,AIPGMEE,Anatomy,Abdomen,falciform ligament,Falciform ligament :- It demarcates the right and left lobes of liver. It contains ligamentum teres (remnant of left umblical vein) and paraumblical vein. It develops of ventral mesogastrium (ventral part).,,,,,,Anatomy,Abdomen,['Abdomen'],llm,Falciform ligament liver lobe demarcation,anatomy_structure,[],nishant-aipgmee,,,,,,,,
6,2014,AIPGMEE,Anatomy,Abdominal Anatomy,coronary ligaments,"Coronary ligaments :- It contains superior and inferior layers which connect liver to diaphragm, and encloses the triangular 'bare area of liver'.",,,,,,Anatomy,Abdominal Anatomy,"['Abdominal anatomy', 'Hepatobiliary anatomy']",llm,coronary ligaments of liver,anatomy_structure,[],nishant-aipgmee,,,,,,,,
7,2014,AIPGMEE,Anatomy,Abdominal Anatomy,triangular ligaments,Triangular ligaments (a right and a left) :- These connect right and left lobes of liver to diaphragm. It develops from ventral mesogastrium.,,,,,,Anatomy,Abdominal Anatomy,"['Abdominal anatomy', 'Hepatobiliary anatomy']",llm,triangular ligaments of liver,anatomy_structure,[],nishant-aipgmee,,,,,,,,
61,2014,AIPGMEE,Anatomy,Abdominal Anatomy,ascending colon,Part of colon with no mesentery?,Transverse colon,Sigmoid colon,Ascending colon,Rectum,3,Anatomy,Abdominal Anatomy,"['Abdominal anatomy', 'Gastrointestinal']",llm,ascending colon no mesentery,anatomy_structure,[],nishant-aipgmee,,,,,,,,
62,2014,AIPGMEE,Anatomy,Urinary Bladder,Trigone,False regarding trigone of bladder ?,Lined by transitional epithelium,Mucosa smooth and firmly adherent.,Internal urethral orifice lies at lateral angle of base,Developed from mesonephric duct,3,Anatomy,Urinary Bladder,"['Urinary bladder', 'Neuroanatomy']",llm,Trigone epithelium type,anatomy_structure,[],nishant-aipgmee,Trigone of bladder has following features : 1) Lined by transitional epithelium 2) Mucosa is smooth and firmly adherent 3) Ureters open at lateral angles of base and internal urethral orifice lies at apex. 4) Has Trigonal muscle of bell (smooth muscle layer just beneath mucosa). 5) Derived from absorbed part of mesonephric duct (Wolffian duct).,,,,,,,
63,2014,AIPGMEE,Anatomy,Urinary Bladder,Trigone development,Trigone of urinary bladder develops from:,Mesoderm,Ectoderm,Endoderm of urachus,None of the above,1,Anatomy,Urinary Bladder,"['Urinary bladder', 'Neuroanatomy']",llm,Trigone embryologic origin,mechanism,[],nishant-aipgmee,"With differential growth of the dorsal bladder wall, the ureters come to open through the lateral angles of the bladder, and the mesonephric ducts open close together in what will be the urethra. That part of the dorsal bladder wall marked off by the openings of these four ducts forms the trigone of the bladder. Thus, lining of the bladder over the trigone is mesodermal in origin; The smooth muscle of the bladder wall is derived from the splanchnopleuric mesoderm. The apex of the bladder is continuous with the allantois, which now becomes obliterated and forms a fibrous core, the urachus. The urachus persists throughout life as a ligament that runs from the apex of the bladder to the umbilicus and is called the median umbilical ligament o Linining epithelium of bladder mucosa is transitional epithelium. When empty mucosa is thrown into rugae except in trigone, where mucosa is smooth and firmly adherent. o just beneath the mucosa of trigone there is layer of smooth muscle, Trtgonal muscle of Bell which replaces the submucous coat in trigone area",,,,,,,
64,2014,AIPGMEE,Anatomy,Large Intestine,Watershed zone,Watershed zone of large intestine ?,Cecum,Ascending colon,Rectosigmoid,Transverse colon,3,Anatomy,Large Intestine,"['Large intestine', 'Neuroanatomy']",llm,Large intestine watershed zone,anatomy_structure,[],nishant-aipgmee,There are areas of colon with poor blood supply resulting from incomplete anastomosis of marginal arteries. These are watershed areas of colon and include :,,,,,,,
1,2014,AIPGMEE,Anatomy,Abdomen,Splenic flexure watershed,Splenic flexure (Griffith point) : Watershed area between superior mesenteric artery and inferior mesenteric artery.,,,,,,Anatomy,Abdomen,"['Abdomen', 'Neuroanatomy']",llm,Splenic flexure watershed area,anatomy_structure,[],nishant-aipgmee,,,,,,,,
2,2014,AIPGMEE,Anatomy,Abdomen,Rectosigmoid junction watershed,Rectosigmoid junction (Sudeck's point) : Watershed zone between inferior mesenteric artery and internal iliac artery.,,,,,,Anatomy,Abdomen,"['Abdomen', 'Neuroanatomy']",llm,Rectosigmoid junction watershed area,anatomy_structure,[],nishant-aipgmee,,,,,,,,
65,2014,AIPGMEE,Anatomy,Pelvis & Perineum,Broad ligament,Ligament extending from cervix and vagina to lateral pelvic wall ?,Broad ligament,Pubocervical ligament,Round ligament,Transverse cervical ligament,4,Anatomy,Pelvis & Perineum,"['Pelvis & Perineum', 'Neuroanatomy']",llm,Broad ligament anatomy,anatomy_structure,[],nishant-aipgmee,,,,,,,,
66,2014,AIPGMEE,Anatomy,Anterior Abdominal Wall,Scarpa's fascia,True about Scarpa's fascia ?,Deep fascia of anterior abdominal wall,Also called Buck's fascia,Attached to Iliotibial tract,Forms suspensory ligament of penis,4,Anatomy,Anterior Abdominal Wall,"['Neuroanatomy', 'Anterior Abdominal Wall']",llm,Scarpa's fascia true statements,anatomy_structure,[],nishant-aipgmee,"Fascia of anterior abdominal wall A) Superficial fascia The superficial fascia of anterior abdominal wall (below the level of umblicus) is divided into : Superficial fatty layer (fascia of camper or camper's fascia), and deep membraneus layer (fascia of scarpa or scarpa's fascia). The fatty layer (fascia of camper) is continuous with the superficial fascia of adjoining part of the body. However, in the penis it is devoid of fat and in scrotum it is replaced by dartos muscle, i.e., in scrotum dartos muscle is present instead of fatty layer of superficial fascia. B) Deep fascia It is present in the form of a thin layer covering the muscles and their aponeuroses and large neurovascular structures. At superficial inguinal ring it continues over the spermatic cord as external spermatic fascia into scrotum and continue over the penis as deep fascia of penis (Buck's fascia).",,,,,,,
67,2014,AIPGMEE,Anatomy,Pelvic Cavity,Cave of Retzius,Where is the Cave of Retzius present?,Between urinary bladder and rectum,Between urinary bladder and cervix,In front of the bladder,Between the cervix and the rectum,3,Anatomy,Pelvic Cavity,"['Neuroanatomy', 'Pelvic Cavity']",llm,Cave of Retzius location,anatomy_structure,[],nishant-aipgmee,Space of Retzius is a horse-shoe shaped potential space which intervenes between the antero-lateral pelvic wall and the sides of the bladder and prostate.,,,,,,,
68,2014,AIPGMEE,Anatomy,Inguinal Canal,Nerve entry deep inguinal ring,Nerve entering the inguinal canal through deep inguinal ring ?,Ilioinguinal nerve,Pudendal nerve,Genital branch of genitofemoral,Superior rectal nerve,3,Anatomy,Inguinal Canal,"['Neuroanatomy', 'Inguinal Canal']",llm,Ilioinguinal nerve deep ring,anatomy_structure,[],nishant-aipgmee,"The spermatic cord in males and round ligament of uterus in females, enter the inguinal canal through the deep inguinal ring and pass out through superficial inguinal ring. Thus consituents of spermatic cord are also components of inguinal canal; these are ductus deferens (vas deferens), testicular artery, cremestric artery, artery to ductus deference, pampiniform plexus, lymphatics, sympathetic plexus, genital branch of genitofemoral nerve, remains of process vaginalis. Note: Ili oiguinal nerve enters inguinal canal through interval between external and internal oblique muscles (not through deep inguinal ring).",,,,,,,
69,2014,AIPGMEE,Anatomy,Embryology,Renal artery origin,"Initially, renal arteries are branches of ?",Internal pudendal artery,External iliac artery,Common iliac artery,Aorta,3,Anatomy,Embryology,"['Embryology', 'Renal']",llm,Renal arteries initially from common iliac,anatomy_structure,[],nishant-aipgmee,"Due to ascent of kidneys during development, the blood supply of kidney changes:? 1) Initially when the kidneys are in pelvis, the renal arteries are branches of common iliac arteries. 2) With progressive ascent, the arteries to kidneys are derived from different levels of aorta.",,,,,,,
70,2014,AIPGMEE,Anatomy,Renal,Neonatal renal blood supply,"In a neonate, kidney is supplied by?",Internal pudendal artery,External iliac artery,Common iliac artery,Aorta,4,Anatomy,Renal,['Renal'],llm,Neonatal kidney supplied by aorta,anatomy_structure,[],nishant-aipgmee,"Upto 5th week of intrauterine life, kidney is in lumbar region and renal arteries are branches of common iliac artery (see above explanation). After that, differential growth of abdominal wall causes the kidney to ascent to lumbar region. Adult position (lumbar region of abdomen) is attained by 9th week. Druing progressive ascent, the arteries to kidney are derived from different levels of aorta. After full ascent, definitive renal artery is branch of aorta at 2nd lumbar segment. Thus, neonatal kidney is supplied by aorta.",,,,,,,
71,2014,AIPGMEE,Anatomy,Abdomen,External oblique attachments,External oblique forms all except?,Lacunar ligament,Pectineal ligament,Conjoint tendon,Inguinal ligament,3,Anatomy,Abdomen,['Abdomen'],llm,"External oblique forms inguinal ligament, not pectineal",anatomy_structure,[],nishant-aipgmee,"Inguinal ligament (Poupart's ligament) is the folded lower border of external oblique aponeurosis Lacunar ligament (Gimbernats ligament) is the crescent shaped expansion from the medial end of inguinal ligament attached to pectineal line of pubis. Pectineal ligament (Cooper's ligament) is strong fibrous band extending laterally from the lacunar ligament along pectineal line of pubis. Similar to lacunar ligament, it is made of external oblique aponeurosis. Reflected part of inguinal ligament extends from the lateral crus of superficial inguinal ring formed by inguinal ligament upwards to linea alba. It forms the posterior wall of inguinal canal. Conjoint tendon (falx inguinalis) is formed by the aponeuroses of internal oblique and transversus abdominis muscle and is attached to pubic crest.",,,,,,,
72,2014,AIPGMEE,Anatomy,Trigeminal Nerve,Meckel's cave,Meckel's cave is related to ?,Submandibular ganglion,Trigeminal ganglion,Otic ganglion,Pterygopalatine ganglion,2,Anatomy,Trigeminal Nerve,"['Trigeminal nerve', 'Head and Neck']",llm,Meckel's cave ganglion relation,anatomy_structure,[],nishant-aipgmee,"Ans. is 'b' i.e., Trigeminal ganglion Trigeminal ganglion (Gasserion ganglion or semilunar ganglion) lies in a dural pouch, the cavum trigeminale (Meckel's cave).",,,,,,,
73,2014,AIPGMEE,Anatomy,Cervical Vertebrae,Longest spinous process,Longest spinous process is seen in ?,C,C,C,C,4,Anatomy,Cervical Vertebrae,"['Cervical vertebrae', 'Vertebral column']",llm,C7 longest spinous process,anatomy_structure,[],nishant-aipgmee,"Ans. is 'd' i.e., C7 Cervical Vertebrae There are 7 cervical vertebrae of which 3-6 are typical and 1st, 2nd and 7th are atypical. Characteristic features of typical cervical vertebra are : - i. Foramen transversarium is present in the transverse process. Foramina transversaria of Cl to C6 vertebrae transmit vertebral artery, vertebral vein and sympathetic plexus, and that of C7 transmits only vertebral veins. i. Body is small and broad transversely (side to side). i. Spinous process is small and bifid. v. Vertebral foramen is large and triangular. v. Superior articular facet is directed backwards and upwards, and inferior facet is directed downwards and forwards. Articular process are placed horizontally, So that dislocation can occur without fracture. i. The anterior tubercle on transverse process of C6 vertebra is prominent and is called carotid tubercle or chaissagnac's tubercle. It is related to common carotid artery which can be palpated against it. Erb's point is opposite chassaignac's tubercle. Cricoid cartilage is at same level (C6 vertebra). Important features of atypical vertebrae are : ?",,,,,,,
1,2014,AIPGMEE,Anatomy,Cervical Vertebrae,Atlas,First cervical vertebra (atlas) is ring like bone having lateral mass on each side connected by a smaller anterior arch and a larger posterior arch. Anterior arch has a facet for dens of axis. Each lateral mass has an upper articular facet for occipital condyle and lower facet for body of C2 (axis) vertebra. Cl vertebra does not have body and spinous process.,,,,,,Anatomy,Cervical Vertebrae,"['Cervical vertebrae', 'Head and Neck']",llm,Atlas ring-like bone anatomy,anatomy_structure,[],nishant-aipgmee,,,,,,,,
2,2014,AIPGMEE,Anatomy,Head & Neck,Odontoid process,"Second cervical vertebra (axis) is characterized by presence of odontoid process or dens, a peg-like projection from the body.",,,,,,Anatomy,Head & Neck,"['Head & Neck', 'Cervical Vertebrae']",llm,Axis odontoid process,anatomy_structure,[],nishant-aipgmee,,,,,,,,
3,2014,AIPGMEE,Anatomy,Head & Neck,Vertebra prominens,"Seventh cervical vertebra is called as vertebra prominens because it has most promenent spinous process which is not bifid. Foramen transversarium transmits only vertebral vein, not vertebral artery.",,,,,,Anatomy,Head & Neck,"['Head & Neck', 'Cervical Vertebrae']",llm,C7 vertebra prominens,anatomy_structure,[],nishant-aipgmee,,,,,,,,
74,2014,AIPGMEE,Ophthalmology,Eyelid,Moll gland,Sweat gland near the lid margins,Moll,Zeis,Meibomian,Krause,1,Ophthalmology,Eyelid,['Eyelid'],llm,Moll gland lid margin,anatomy_structure,['Anatomy'],nishant-aipgmee,,,,,,,,
75,2014,AIPGMEE,ENT,Nasal Cavity,Anterior nasal lymphatics,Anterior lymphatics from the nose drain into ?,Pretracheal nodes,Submandibular nodes,Sublingual nodes,Superficial cervical nodes,2,ENT,Nasal Cavity,"['Nasal cavity', 'Lymphatic system', 'Head and neck anatomy']",llm,Anterior nasal lymphatics,anatomy_structure,['Anatomy'],nishant-aipgmee,"Ans. is 'b' i.e., Submandibular nodes Submandibular nodes These nodes lie deep to investing layer of deep cervical fascia in submandibular triangle, between the deep fascia and submandibular gland. These nodes receive afferents from centre of forehead; anterior part of nasal cavity; frontal, maxillary and ethmoidal air sinuses; inner canthus (medial angle of eye); whole of upper lip and anterior part of cheek with underlying gum and teeth; outer part of lower lip with lower gums and teeth excluding incisors; anterior two third of tongue excluding the tip; floor of mouth; and angle of mouth. These nodes also receives efferents of submental nodes. Submandibular nodes drain into (efferent) upper and lower deep cervical nodes.",,,,,,,
76,2014,AIPGMEE,ENT,Nasopharynx,Killian's dehiscence,Killian's dehisence is seen in ?,Oropharynx,Nasopharynx,Cricopharynx,Vocal cords,3,ENT,Nasopharynx,"['Nasopharynx', 'Pharyngeal wall', 'Neuroanatomy']",llm,Killian's dehiscence location,anatomy_structure,['Anatomy'],nishant-aipgmee,"Ans. is 'c' i.e., Cricopharynx Inferior constrictor muscle has two parts :- (i) Thyropharyngeous with oblique fibres, and (ii) Cricopharyngeous with transverse fibres. Between these two parts of inferior constrictor exists a potential gap called Killan's dehiscence. It is also called the gateway to tear as perforation can occur at this site during esophagoscopy. It is also the site for herniation of pharyngeal mucosa in case of pharyngeal pouch.",,,,,,,
77,2014,AIPGMEE,ENT,Ossicles,Fossa incudis,Fossa incudis is related to ?,Head of malleus,Long process of incus,Short process of incus,Foot process of stapes,3,ENT,Ossicles,"['Middle ear', 'Ossicles', 'Ear anatomy']",llm,Fossa incudis relation,anatomy_structure,['Anatomy'],nishant-aipgmee,Fossa incudis contains short process of Incus. Head of malleus is attached to epitympanum by ligament of head of malleus. Long process of incus is attached to head of stapes. Footplate of stapes lies over oval window.,,,,,,,
78,2014,AIPGMEE,Anatomy,Throat & Larynx,unpaired cartilage,Unpaired laryngeal cartilage ?,Arytenoid,Corniculate,Cuneiform,Epiglottis,4,Anatomy,Throat & Larynx,"['Head & Neck', 'Throat & Larynx']",llm,unpaired laryngeal cartilage,anatomy_structure,[],nishant-aipgmee,"The skeletal supports of larynx is provided by Six cartilages, 3 out of which are paired (so there are total 9 cartilages). i) Unpaired :- Thyroid, cricoid, epiglottis. ii) Paired :- Arytenoid, Corniculate, cuneiform.",,,,,,,
79,2014,AIPGMEE,Anatomy,Cranial Nerves,trochlear nerve dorsal exit,Which is the only nerve which exits the brainstem on dorsal side ?,Facial,Trigeminal,Trochlear,Abducent,3,Anatomy,Cranial Nerves,"['Neuroanatomy', 'Cranial nerves']",llm,trochlear nerve dorsal exit,anatomy_structure,[],nishant-aipgmee,Unique features of trochlear nerve are :? i) Most selender cranial nerve. ii) Only cranial nerve to emerge on the dorsal aspect of brain. iii) Only cranial nerve to undergo complete internal decussation before emerging i.e. right trochlear nerve arises from left trochlear nucleus and vice versa. iv) Has'longest intracranial course (Vagus nerve has overall longest course). v) Thinnest cranial nerve (smallest nerve in terms of the number of axons it contains).,,,,,,,
80,2014,AIPGMEE,Anatomy,Cerebral Circulation,putamen blood supply,Blood supply of putamen includes all except?,Medial striate arteries,Lateral striate arteries,Anterior choroidal artery,Posterior communicating artery,4,Anatomy,Cerebral Circulation,"['Neuroanatomy', 'Cerebral circulation']",llm,putamen arterial supply,anatomy_structure,[],nishant-aipgmee,"Blood supply of basal ganglia Caudate nucleus and putamen are supplied by lateral and medial striate branches of anterior, medial and posterior cerebral arteries. Putamen receives additional supply from anterior choroidal artery. o Globus pallidus is supplied by lateral striate and anterior choroidal arteries.",,,,,,,
81,2014,AIPGMEE,Anatomy,Neuroanatomy,Medulla blood supply,Medulla is supplied by all except?,Basilar artery,Anterior spinal artery,Vertebral artery,Posterior cerebral artery,4,Anatomy,Neuroanatomy,['Neuroanatomy'],llm,Medulla arterial supply,anatomy_structure,[],nishant-aipgmee,Posterior cerebral artery,,,,,,,
82,2014,AIPGMEE,Anatomy,Head And Neck,Eustachian tube length,Length of Eustachian tube?,12 mm,24mm,36mm,48mm,3,Anatomy,Head And Neck,['Head and Neck'],llm,Eustachian tube length,anatomy_structure,[],nishant-aipgmee,Length of Eustachian tube is 36 mm. (reached by the age of 7 years) Lateral third (i.e. 12 mm) is bony. Medial 2/3 (i.e. 24 mm) is fibrocartilaginous.,,,,,,,
83,2014,AIPGMEE,Anatomy,Cranial Nerves,Parasympathetic to lacrimal gland,Parasympathetic supply to lacrimal glands are passed through ?,Lesser petorsal nerve,Chorda tympani,Greater petorsal nerve,Lingual nerve,3,Anatomy,Cranial Nerves,"['Cranial nerves', 'Head and Neck']",llm,Lacrimal gland parasympathetic,anatomy_structure,[],nishant-aipgmee,Greater petorsal nerve,,,,,,,
85,2014,AIPGMEE,Anatomy,Paranasal Sinuses,Haller cells location,Haller cells are seen in?,Roof of nose,Orbital floor,Lateral nasal wall,Maxillary sinus,2,Anatomy,Paranasal Sinuses,"['Paranasal Sinuses', 'Environment & Occupational Health']",llm,Haller cells orbital floor,anatomy_structure,['ENT'],nishant-aipgmee,The Onodi and Haller cells are ethmoidal air cells. Some air cells may invade the orbital floor. These are known as the Haller' cells. The Onodi cell is usually regarded as the most posterior ethmoid cell that pneumatizes lateral and superior to the sphenoid sinus and is intimately associated with the optic nerve.,,,,,,,
86,2014,AIPGMEE,Anatomy,Lacrimal Apparatus,Hasner's valve,Which valve is present at opening of nasolacrimal duct?,Hasner's valve,Heister valve,Spiral valve,None,1,Anatomy,Lacrimal Apparatus,"['Lacrimal Apparatus', 'Environment & Occupational Health']",llm,Hasner's valve location,anatomy_structure,['ENT'],nishant-aipgmee,Nasolacrimal duct opens into inferior meatus and is closed by a mucosal flap called Hasner's valve. Heister valve (spiral valve) is present in cyctic duct.,,,,,,,
88,2014,AIPGMEE,Anatomy,Laryngeal Nerves,Galen's anastomosis,Galen's anastomosis is between ?,Recurrent laryngeal nerve and external laryngeal nerve,Recurrent laryngeal nerve and internal laryngeal nerve,Internal laryngeal nerve and external laryngeal nerve,None of the above,2,Anatomy,Laryngeal Nerves,"['Laryngeal Nerves', 'Environment & Occupational Health']",llm,Galen's anastomosis nerves,anatomy_structure,['ENT'],nishant-aipgmee,"Ans. is 'b' i.e., Recurrent laryngeal nerve and internal laryngeal nerve There are two types of important anastmosis between laryngeal branches of vagus :?",,,,,,,
1,2014,AIPGMEE,Anatomy,Neuroanatomy,Galen anastomosis,Galen anastomosis (Ramus anastomoticus or,,,,,1,Anatomy,Neuroanatomy,"['Neuroanatomy', 'Neuroanatomy']",llm,Galen anastomosis anatomy,anatomy_structure,[],nishant-aipgmee,,,,,,,,
2,2014,AIPGMEE,Anatomy,Head And Neck,human communicating nerve,Human communicating nerve It is an anastomosis between recurrent laryngeal nerve (distal part) and external laryngeal nerve (external branch of superior laryngeal nerve).,,,,,,Anatomy,Head And Neck,"['Neuroanatomy', 'Head and Neck']",llm,recurrent laryngeal nerve anastomosis,anatomy_structure,[],nishant-aipgmee,,,,,,,,
89,2014,AIPGMEE,Anatomy,Head And Neck,lamina papyracea location,Lamina papyracea is between ?,Optic nerve and orbit,Maxillary sinus and orbit,Ethmoid sinus and orbit,Cranial cavity and orbit,3,Anatomy,Head And Neck,"['Neuroanatomy', 'Head and Neck']",llm,lamina papyracea ethmoid sinus orbit,anatomy_structure,[],nishant-aipgmee,,,,,,,,
90,2014,AIPGMEE,Anatomy,Sternocleidomastoid,Unilateral tilt direction,False about sternocleidomastoid?,Arises from sternum and clavicle,Insertes on mastoid process,Motor supply by spinal accessory nerve,Tilt the head on opposite side,4,Anatomy,Sternocleidomastoid,"['Sternocleidomastoid', 'Neck muscles']",llm,SCM tilts head ipsilaterally,anatomy_structure,[],nishant-aipgmee,Sternocleidomastoid tsternomastoidl Origin,,,,,,,
2,2014,AIPGMEE,Anatomy,Sternocleidomastoid,Clavicular head insertion,The clavicular head Insertion It is inserted :,,,,,,Anatomy,Sternocleidomastoid,"['Sternocleidomastoid', 'Neck muscles']",llm,Clavicular head mastoid insertion,anatomy_structure,[],nishant-aipgmee,,,,,,,,
1,2014,AIPGMEE,Anatomy,Sternocleidomastoid,Thick tendon insertion,"By a thick tendon into the lateral surface of mastoid process, from its tip to superior border.",,,,,,Anatomy,Sternocleidomastoid,"['Sternocleidomastoid', 'Neck muscles']",llm,SCM thick tendon mastoid,anatomy_structure,[],nishant-aipgmee,,,,,,,,
2,2014,AIPGMEE,Anatomy,Trapezius,origin at superior nuchal line,By a thin apponeurosis into the lateral half of the superior nuchal line of the occipital bone. Nerve supply,,,,,,Anatomy,Trapezius,"['Trapezius', 'Head and Neck', 'Muscle anatomy']",llm,Trapezius innervation,anatomy_structure,[],nishant-aipgmee,,,,,,,,
3,2014,AIPGMEE,Anatomy,Sternocleidomastoid,accessory nerve passage,The spinal accessory nerve provides the motor supply. It passes through the muscle.,,,,,,Anatomy,Sternocleidomastoid,"['Sternocleidomastoid', 'Head and Neck', 'Muscle anatomy']",llm,Accessory nerve passes through SCM,anatomy_structure,[],nishant-aipgmee,,,,,,,,
4,2014,AIPGMEE,Anatomy,Sternocleidomastoid,proprioceptive innervation C2,"Branches from the ventral rami of C2 are proprioceptive. Blood supply Arterial supply-one branch each from superior thyroid artery and suprascapular artery and, two branches from the occipital artery supply the big muscle. Veins follow the arteries. Actions",,,,,,Anatomy,Sternocleidomastoid,"['Sternocleidomastoid', 'Head and Neck', 'Muscle anatomy']",llm,SCM innervation and actions,anatomy_structure,[],nishant-aipgmee,,,,,,,,
1,2014,AIPGMEE,Anatomy,Head And Neck,Sternocleidomastoid actions,When one muscle contracts :,It turns the chin to the opposite side.,It can also tilt the head towards the shoulder of same side.,,,,Anatomy,Head And Neck,"['Head and Neck', 'Neuroanatomy', 'CNS Physiology']",llm,Sternocleidomastoid actions,mechanism,['Physiology'],nishant-aipgmee,,,,,,,,
91,2014,AIPGMEE,Anatomy,Head And Neck,Scalenus anterior anatomy,The key to the root of the neck is the scalenus anterior muscle. Which among the following is TRUE about scalenus anterior?,Not Pierced by phrenic nerve,Attached to scalene tubercle on 2nd rib,Separates subclavian artery from subclavian vein,Pierced by phrenic nerve,1,Anatomy,Head And Neck,"['Head and Neck', 'Neuroanatomy']",llm,Scalenus anterior separates subclavian vessels,anatomy_structure,[],nishant-aipgmee,,,,,,,,
92,2014,AIPGMEE,Anatomy,Head And Neck,Tongue muscle embryology,Tongue muscle which is not developed from occipital myotome ?,Styloglossus,Hyoglossus,Genioglossus,Palatoglossus,4,Anatomy,Head And Neck,"['Head and Neck', 'Neuroanatomy']",llm,Palatoglossus not from occipital myotome,mechanism,[],nishant-aipgmee,"DEVELOPMENT OF THE TONGUE :? I. Epithelium a) Ant 2/3 -- lingual swellings of 1st arch and tuberculum impar b) Post 1/3 -- large dorsal part of hypobranchial eminence, Le. 3rd arch c) Posterior most part -- small dorsal part of the hypobranchial eminence, i.e. 4th arch II. Muscles From occipital myotomes except palatoglossus which is derived from the 6th arch.",,,,,,,
93,2014,AIPGMEE,Anatomy,Head And Neck Anatomy,Korner's septum,Korner's septum is seen in ?,Petrosquamous suture,Temporosquamous suture,Petromastoid suture,Frontozygomatic suture,1,Anatomy,Head And Neck Anatomy,['Head and Neck Anatomy'],llm,Korner's septum location,anatomy_structure,[],nishant-aipgmee,"Mastoid develops from squamous and petrous bone. Korner's septum is persistence of petrosquamous suture in the form of a bony plate. Korner's septum is surgically important as it may cause difficulty in locating the antrum and the deeper (ells, and thus lead to incomplete removal of disease at mastoidectomy. Mastoid antrum cannot be reached unless the Korners septum has been removed.",,,,,,,
94,2014,AIPGMEE,Anatomy,Head And Neck Anatomy,Chorda tympani,What is true about chorda tympani?,Postganglionic sympathetic,Preganglionic sympathetic,Preganglionic parasympathetic,Postgalglionic parasympathetic,3,Anatomy,Head And Neck Anatomy,['Head and Neck Anatomy'],llm,Chorda tympani parasympathetic,anatomy_structure,[],nishant-aipgmee,Chorda tympani arises from intratemporal part (in fallopion canal) of facial nerve. * It carries preganglionic secretomotor fibers (not postganglionic) to submandibular and sublingual glands. * It joins lingual nerve in infratemporal fossa. * It carries taste sensations from anterior 2/3 of tongue.,,,,,,,
95,2014,AIPGMEE,Anatomy,Head And Neck Anatomy,Vidian nerve formation,Vidian nerve is formed by union of?,Superficial petrosal nerve and deep petrosal nerve,Greater petrosal nerve and superficial petrosal nerve,Greater petrosal nerve and deep petrosal nerve,Greater petrosal nerve and external petrosal nerve,3,Anatomy,Head And Neck Anatomy,['Head and Neck Anatomy'],llm,Vidian nerve composition,anatomy_structure,[],nishant-aipgmee,Greater petorsal nerve units with deep petrosal nerve to form nerve to pterygoid canal (also called vidian nerve).,,,,,,,
96,2014,AIPGMEE,Anatomy,Nasal Cavity,Woodruff's area location,Woodruff's area is located at ?,Antero-inferior part of nasal septum,Posteroinferior part of nasal septum,Superior part of nasal septum,Posteroinferior part of lateral nasal wall,4,Anatomy,Nasal Cavity,['Nasal Cavity'],llm,Woodruff's area location,anatomy_structure,[],nishant-aipgmee,"Posteriorly on the lateral nasal wall is the area known as Woodruff's area. It is situated under the posterior end of inferior turbinate. Sphenopalatine artery anastomoses with posterior pharyngeal artery, in this area.",,,,,,,
97,2014,AIPGMEE,Anatomy,Middle Ear,Scutum location,Scutum is present in middle ear ?,Roof,Lateral wall,Medial wall,Floor,2,Anatomy,Middle Ear,['Middle Ear'],llm,Scutum location in middle ear,anatomy_structure,[],nishant-aipgmee,,,,,,,,
98,2014,AIPGMEE,Anatomy,Bony Labyrinth,Utricle not part of bony labyrinth,Not a part of bony labyrinth?,Cochlea,Vestibule,Utricle,Semicircular canal,3,Anatomy,Bony Labyrinth,['Bony Labyrinth'],llm,Utricle not part of bony labyrinth,anatomy_structure,[],nishant-aipgmee,"The inner ear within the petrous part of temporal bone consists of a membranous labyrinth enclosed in a bony (osseous) labyrinth. So, inner ear has two parts : ? Bony labyrinth :- Cochlea, Vestibule, Semicircular canals. Membranous labyrinth :- Cochlear duct, utricle, Saccules, three semicircular ducts, and endolymphatic duct & sac.",,,,,,,
99,2014,AIPGMEE,Anatomy,Thyroid Gland,Lymphatic drainage,Lymphatic drainage of thyroid gland is mainly ?,Sublingual nodes,Submandibular nodes,Deep cervical nodes,Submental nodes,3,Anatomy,Thyroid Gland,['Thyroid gland'],llm,Thyroid lymphatics drain to deep cervical nodes,anatomy_structure,[],nishant-aipgmee,"Lymphatic drainage of thyroid Lymph from the upper part of the gland reaches the upper deep cervical lymph nodes either directly or through the prelaryngeal nodes. Lymph from the lower part of the gland drains to the lower deep cervical nodes directly, and also through the pretracheal and paratracheal nodes.",,,,,,,
